name,vartype,uom,specified,group,range,description
DPcol,Diff_Pressure,kPa,False,Pressures,"[-50000.0, 50000.0]","Column overall pressure drop representing the sum of the stage pressure drops.\nIf an internal condenser or reboiler is configured, DPcol also includes the pressure drop of those models."
Vovhd,Mole_Flow,kmol/s,False,Product Rates,"[-1000000.0, 1000000.0]",Column molar vapor product rate
Lbtms,Mole_Flow,kmol/s,False,Product Rates,"[-1000000.0, 1000000.0]",Column molar bottoms product rate
Vmovhd,Mass_Flow,kg/s,False,Product Rates,"[0.0, 0.0]",Column mass vapor product rate
Lmbtms,Mass_Flow,kg/s,False,Product Rates,"[0.0, 0.0]",Column mass bottoms product rate
Dsmpstep,Diameter,m,False,,"[-100.0, 100.0]","Column sump incremental diameters. Dsmpstep is defaulted to zero, and can be set to either positive or negative values thus allowing for wider or narrower sump diameters relative to the bottom above."
P[1],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[2],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[3],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[4],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[5],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[6],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[7],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[8],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[9],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[10],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[11],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[12],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
P[13],Pressure,kPa,False,Profiles,"[0.0, 0.0]",Column pressure profile
T[1],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[2],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[3],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[4],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[5],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[6],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[7],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[8],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[9],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[10],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[11],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[12],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
T[13],Temperature,K,False,Profiles,"[0.0, 0.0]",Column temperature profile
V[1],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[2],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[3],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[4],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[5],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[6],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[7],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[8],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[9],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[10],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[11],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[12],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
V[13],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column vapor molar rate profile
L[1],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[2],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[3],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[4],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[5],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[6],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[7],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[8],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[9],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[10],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[11],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[12],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
L[13],Mole_Flow,kmol/s,False,Profiles,"[0.0, 0.0]",Column liquid molar rate profile
VF[1],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[2],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[3],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[4],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[5],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[6],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
VF[7],Mole_Composition,mole fraction,False,Profiles,"[-0.99999, 1.99999]","Column stage unbounded vapor fraction profile\n     VF<0: subcooled\n     VF=0: bubble point, total condenser\n     VF=1: dewpoint\n     VF>1: superheated"
